
1,9LN01023,CLC BUDI LUHUR 1 BIAH,Bongawan,BONGAWAN,NEGERI
2,9LN01024,CLC BUDI LUHUR 2 ASBON,Bongawan,BONGAWAN,SWASTA
3,9LN01025,CLC BUDI LUHUR BINGKOR,Bingkor,BONGAWAN,NEGERI
4,9LN01041,CLC GOOD SAMARITAN,"JALAN MASAK BATU 1 D/A BCCM BM P.O.BOX 60,89007 KENINGAU TEL : +60148512005",SETIA KENINGAU,NEGERI
5,9LN01030,CLC ILHAM INASA,Jalan Keningau-Tawau Batu 28 Sook,PASIR PUTIH,NEGERI
6,9LN01026,CLC JAVA ETANIA MATAKANA,Batu 5 Jalan  Nabawan Keningau,KENINGAU,NEGERI
7,9LN01027,CLC PASIR PUTIH,-,KENINGAU,SWASTA
8,9LN01021,CLC SERAT BANGSA LADANG BONGAWAN,Bongawan,BONGAWAN,SWASTA
9,9LN01022,CLC SERAT BANGSA MAWAU,Mawau,BONGAWAN,NEGERI
10,9LN01028,CLC SLDB DALIT,Dalit Keningau,BONGAWAN,NEGERI
11,9LN01029,CLC SLDB INANDUNG,-,INANDUNG KENINGAU,NEGERI
