90101057,Sekolah Indonesia Nederland Tingkat SD,"Rijksstraatweg 679, 2245 CB Wassenaar, The Netherlands",Wassenaar,NEGERI,Wassenaar,Belanda,Luar Negeri
90101058,Sekolah Indonesia Nederland Tingkat SMP,"Rijksstraatweg 679, 2245 CB Wassenaar, The Netherlands",Wassenaar,NEGERI,Wassenaar,Belanda,Luar Negeri
90101003,Sekolah SI Den Haag,"Rijksstraatweg 679, 2245 CB Wassenaar, The Netherlands",Wassenaar,NEGERI,Wassenaar,Belanda,Luar Negeri
90101023,Sekolah SI Tokyo Tingkat SD,"Sekolah Indonesia Tokyo No. 4-6-6, Meguro Meguro-Ku, Tokyo 153-0063",Meguro-ku,NEGERI,Tokyo,Japan,Luar Negeri
90101025,Sekolah SI Tokyo Tingkat SMA,"Sekolah Indonesia Tokyo No. 4-6-6, Meguro Meguro-Ku, Tokyo 153-0063",Meguro-ku,NEGERI,Tokyo,Japan,Luar Negeri
90101024,Sekolah SI Tokyo Tingkat SMP,"Sekolah Indonesia Tokyo No. 4-6-6, Meguro Meguro-Ku, Tokyo 153-0063",Meguro-ku,NEGERI,Tokyo,Japan,Luar Negeri
90101004,SEKOLAH SI CAIRO TINGKAT SD,"63 Mosaddak, Dokki",Cairo,NEGERI,Cairo,Mesir,Luar Negeri
90101006,SEKOLAH SI CAIRO TINGKAT SMA,"63 MUSADDAK STR. DOKKI , PO. BOX 1661, CAIRO-EGYPT",Cairo,NEGERI,Cairo,Mesir,Luar Negeri
90101005,SEKOLAH SI CAIRO TINGKAT SMP,"63 MUSADDAK STR. DOKKI , PO. BOX 1661, CAIRO-EGYPT",Cairo,NEGERI,Cairo,Mesir,Luar Negeri
90101017,SEKOLAH SI KUALA LUMPUR TINGKAT SD,"LORONG TUN ISMAIL NO. 1 50480 KUALA LUMPUR, MALAYSIA",Kuala Lumpur,SWASTA,Kuala Lumpur,Malaysia,Luar Negeri
90101019,SEKOLAH SI KUALA LUMPUR TINGKAT SMA,"No. 1 Lorong Tun Ismail 50480, Kuala Lumpur, Malaysia",Kuala Lumpur,SWASTA,Kuala Lumpur,Malaysia,Luar Negeri
